source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0071715,icosanoid transport,0.026434816437769144,True,"""The directed movement of icosanoids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Icosanoids are unsaturated C20 fatty acids and skeletally related compounds."" [GOC:mah]",47,1831,12,18452,0.006553795740032769,0.2553191489361702,query_1,['GO:0046942']
GO:BP,GO:0002686,negative regulation of leukocyte migration,0.026434816437769144,True,"""Any process that stops, prevents, or reduces the frequency, rate, or extent of leukocyte migration."" [GOC:add]",47,1831,12,18452,0.006553795740032769,0.2553191489361702,query_1,"['GO:0002683', 'GO:0002685', 'GO:0030336', 'GO:0050900']"
GO:BP,GO:0042472,inner ear morphogenesis,0.026640215792209473,True,"""The process in which the anatomical structures of the inner ear are generated and organized. The inner ear is the structure in vertebrates that contains the organs of balance and hearing. It consists of soft hollow sensory structures (the membranous labyrinth) containing fluid (endolymph) surrounded by fluid (perilymph) and encased in a bony cavity (the bony labyrinth). It consists of two chambers, the sacculus and utriculus, from which arise the cochlea and semicircular canals respectively."" [GOC:jl, ISBN:0192801023]",86,1831,18,18452,0.009830693610049153,0.20930232558139536,query_1,"['GO:0042471', 'GO:0048598', 'GO:0048839']"
GO:BP,GO:0051046,regulation of secretion,0.026821606714055972,True,"""Any process that modulates the frequency, rate or extent of the controlled release of a substance from a cell or a tissue."" [GOC:ai]",506,1831,71,18452,0.038776624795193886,0.14031620553359683,query_1,"['GO:0046903', 'GO:0051049']"
GO:BP,GO:0051048,negative regulation of secretion,0.02760580362424896,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the controlled release of a substance from a cell or a tissue."" [GOC:ai]",136,1831,25,18452,0.013653741125068269,0.18382352941176472,query_1,"['GO:0046903', 'GO:0051046', 'GO:0051051']"
GO:BP,GO:0043269,regulation of monoatomic ion transport,0.028293011452031433,True,"""Any process that modulates the frequency, rate or extent of the directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:jl]",340,1831,51,18452,0.02785363189513927,0.15,query_1,"['GO:0006811', 'GO:0051049']"
GO:BP,GO:0086003,cardiac muscle cell contraction,0.028293011452031433,True,"""The actin filament-based process in which cytoplasmic actin filaments slide past one another resulting in contraction of a cardiac muscle cell."" [GOC:BHF, GOC:mtg_cardiac_conduct_nov11]",73,1831,16,18452,0.008738394320043691,0.2191780821917808,query_1,"['GO:0060048', 'GO:0070252']"
GO:BP,GO:0007611,learning or memory,0.028680190854083888,True,"""The acquisition and processing of information and/or the storage and retrieval of this information over time."" [GOC:jid, PMID:8938125]",220,1831,36,18452,0.019661387220098307,0.16363636363636364,query_1,"['GO:0007610', 'GO:0050890']"
GO:BP,GO:0000096,sulfur amino acid metabolic process,0.029168086750529818,True,"""The chemical reactions and pathways involving amino acids containing sulfur, comprising cysteine, homocysteine, methionine and selenocysteine."" [GOC:ai]",30,1831,9,18452,0.004915346805024577,0.3,query_1,"['GO:0006790', 'GO:0019752']"
GO:BP,GO:0002064,epithelial cell development,0.029266117786439987,True,"""The process whose specific outcome is the progression of an epithelial cell over time, from its formation to the mature structure. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface."" [GOC:dph]",197,1831,33,18452,0.018022938285090113,0.16751269035532995,query_1,"['GO:0030855', 'GO:0048468']"
GO:BP,GO:0060042,retina morphogenesis in camera-type eye,0.030214550305175128,True,"""The process in which the anatomical structure of the retina is generated and organized."" [GOC:bf, GOC:dph, GOC:mtg_sensu]",54,1831,13,18452,0.0070999453850355,0.24074074074074073,query_1,"['GO:0009653', 'GO:0048593', 'GO:0060041']"
GO:BP,GO:0050817,coagulation,0.03031231074495943,True,"""The process in which a fluid solution, or part of it, changes into a solid or semisolid mass."" [ISBN:0198506732]",213,1831,35,18452,0.019115237575095576,0.1643192488262911,query_1,['GO:0032501']
GO:BP,GO:0110020,regulation of actomyosin structure organization,0.03031231074495943,True,"""Any process that modulates the frequency, rate or extent of the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures containing both actin and myosin or paramyosin."" [GOC:lf, PMID:22790195]",94,1831,19,18452,0.010376843255051884,0.20212765957446807,query_1,"['GO:0031032', 'GO:0032956']"
GO:BP,GO:0035150,regulation of tube size,0.03122290255927958,True,"""Ensuring that a tube is of the correct length and diameter. Tube size must be maintained not only during tube formation, but also throughout development and in some physiological processes."" [PMID:10887083]",130,1831,24,18452,0.013107591480065538,0.18461538461538463,query_1,['GO:0090066']
GO:BP,GO:0016051,carbohydrate biosynthetic process,0.032084402975264,True,"""The chemical reactions and pathways resulting in the formation of carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."" [ISBN:0198506732]",160,1831,28,18452,0.015292190060076462,0.175,query_1,"['GO:0005975', 'GO:0009058']"
GO:BP,GO:0016188,synaptic vesicle maturation,0.032426845797097925,True,"""Steps required to form an initiated synaptic vesicle into a fully formed and transmissible synaptic vesicle."" [GOC:curators, PMID:10099709]",25,1831,8,18452,0.004369197160021846,0.32,query_1,"['GO:0016050', 'GO:0021700']"
GO:BP,GO:0099638,endosome to plasma membrane protein transport,0.032475918685991124,True,"""The directed movement of proteins from the endosome to the plasma membrane in transport vesicles."" [GOC:dos]",15,1831,6,18452,0.0032768978700163844,0.4,query_1,"['GO:0006886', 'GO:0032456', 'GO:0061951', 'GO:0072659']"
GO:BP,GO:0051953,negative regulation of amine transport,0.032475918685991124,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of amines into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",15,1831,6,18452,0.0032768978700163844,0.4,query_1,"['GO:0015837', 'GO:0051051', 'GO:0051952']"
GO:BP,GO:0007530,sex determination,0.032475918685991124,True,"""Any process that establishes and transmits the specification of sexual status of an individual organism."" [ISBN:0198506732]",15,1831,6,18452,0.0032768978700163844,0.4,query_1,['GO:0003006']
GO:BP,GO:0098656,monoatomic anion transmembrane transport,0.03260256388208538,True,"""The process in which a monoatomic anion is transported across a membrane. Monatomic anions (also called simple anions) are negatively charged ions consisting of exactly one atom."" [GOC:dos, GOC:vw]",116,1831,22,18452,0.012015292190060076,0.1896551724137931,query_1,"['GO:0006820', 'GO:0034220']"
GO:BP,GO:0030048,actin filament-based movement,0.03260256388208538,True,"""Movement of organelles or other particles along actin filaments, or sliding of actin filaments past each other, mediated by motor proteins."" [GOC:BHF, GOC:mah]",116,1831,22,18452,0.012015292190060076,0.1896551724137931,query_1,['GO:0030029']
